domain,dedupe_key,dedupe_key_type,review_id,review_rating,review_time,review_experienced_time,review_title,review_text,review_is_verified,review_likes,consumer_name,consumer_id,consumer_country,consumer_review_count,consumer_is_verified,reply_text
www.thepearlsource.com,id:6a5fc4cbc31754755fcedcb9,native_id,6a5fc4cbc31754755fcedcb9,5,2026-07-21T21:13:15.000Z,2026-07-18T00:00:00.000Z,beautiful pearls,beautiful pearls,true,0,glen mcdonald,6a5fc4cb7b418c4794871ebe,CA,1,false,We appreciate you taking the time to leave a review. It's wonderful to know you're so pleased with your pearls.
www.thepearlsource.com,id:6a5fb800ed3b4bb0499620fd,native_id,6a5fb800ed3b4bb0499620fd,5,2026-07-21T20:18:40.000Z,2026-07-14T00:00:00.000Z,Awesome pearl necklaces,"Awesome pearl necklaces, great quality, and fast shipping. ",true,0,Rod Martin,6a5fb7ffff3db28302bce18c,US,1,false,We're so glad to hear you were pleased with the quality of your pearl necklaces and the fast shipping. Thank you for taking the time to share your feedback.
www.thepearlsource.com,id:6a5f926ad24b2c88d483d0ae,native_id,6a5f926ad24b2c88d483d0ae,5,2026-07-21T17:38:18.000Z,2026-07-10T00:00:00.000Z,Really good experience!,"My experience with The Pearl Source has been a good one. My granddaughter is going to love them and hopefully cherish them forever. When I ordered them, I received them within a week. They are beautiful. ",true,0,Paula,5a6f74710000ff000b098b69,US,1,false,We're delighted to hear your order arrived quickly and that the pearls made such a wonderful impression. We hope they become a treasured gift for your granddaughter. Thank you for sharing your experience with us.
www.thepearlsource.com,id:6a5eab67673db7c0e3922f0a,native_id,6a5eab67673db7c0e3922f0a,5,2026-07-21T01:12:39.000Z,2026-07-17T00:00:00.000Z,The Hanadama Pearl earrings ,The Hanadama Pearl Stud earrings I ordered are so beautiful.  I have been wearing them since they arrived.  The luster on them is remarkable and the 8.5mm size is perfect.  ,true,0,Linda B,6a4992ce9371bfa17d72ceca,US,2,false,We're so happy to hear you've been enjoying your Hanadama Pearl Stud Earrings. It's great to know you're so pleased with their remarkable luster and 8.5mm size. We hope you continue to enjoy wearing them.
www.thepearlsource.com,id:6a5d904b8d8cb8d39b5a1799,native_id,6a5d904b8d8cb8d39b5a1799,5,2026-07-20T05:04:43.000Z,2026-07-16T00:00:00.000Z,First time customer…,"As a first time customer with The Pearl Source, I am extremely pleased and impressed with the product and the company.  The shipping was quick, which was even more impressive.  I look forward to shopping with The Pearl Source in the future.",true,0,Human Sun,5e88d6004d2b561defbf5958,US,6,false,Thank you for sharing your experience. We're so pleased to hear your first purchase with The Pearl Source left such a positive impression and that your order arrived quickly. We truly appreciate your feedback.
www.thepearlsource.com,id:6a5d8b97feb1621e3c0c29fb,native_id,6a5d8b97feb1621e3c0c29fb,5,2026-07-20T04:44:39.000Z,2026-07-12T00:00:00.000Z,Quality Pearls,"The Pearl Source is a lovely company. They’ll communicate through email or phone if you need them. I ordered the chain station necklace on line, 16 inches, and the Akoya pearls have a lovely luster. The dainty gold chain glistens. I am so happy with it.",true,0,Sharon R.,5acd4ecd4de5666d34d121f8,US,8,false,Thank you for your feedback. We're happy to know you had a positive experience with our team and that you're so pleased with your Chain Station Necklace. We truly appreciate you taking the time to share your experience.
www.thepearlsource.com,id:6a5d536b81959fbde31f1503,native_id,6a5d536b81959fbde31f1503,5,2026-07-20T00:44:59.000Z,2026-07-19T00:00:00.000Z,Great service,"Great service, I had a question and asked via web chat. Was helped right away",true,0,MW,6a5d536bb06fbfe72fec1bbb,US,1,false,Thank you for your feedback. We're glad our web chat team was able to answer your question right away. Knowing you had a positive experience means a great deal to us.
www.thepearlsource.com,id:6a5cbee7d15cfd51e3c65e6b,native_id,6a5cbee7d15cfd51e3c65e6b,5,2026-07-19T14:11:19.000Z,2026-07-19T00:00:00.000Z,Excellent service from ordering to delivery ,"Superb service delivery from LA USA to UK in less than a week. Brilliant
The product is perfect and will make an ideal birthday present to match the pearl neclace I bought in May 2026 for our 30th wedding anniversary. 
Thank you ",true,0,Stephen B,5e978a5aa222f44164634d22,GB,14,false,Thank you for taking the time to share your experience. We're delighted to hear your order arrived in the UK so quickly and that your new piece is the perfect match for the pearl necklace you purchased for your 30th wedding anniversary. We truly appreciate your continued support.
www.thepearlsource.com,id:6a5bd97d5eb610b7a756a5b7,native_id,6a5bd97d5eb610b7a756a5b7,5,2026-07-18T21:52:29.000Z,2026-07-15T00:00:00.000Z,Beautiful Pearls,"The variety of choices made it easy to find that special pearl that touches your heart. I purchased a pendant and was so pleased that I then ordered a pair of pearl earrings to match. They are both beautiful. I was hesitant purchasing online; however, I couldn't be more pleased and definitely recommend The Pearl Source!",true,0,Cheryl Morin,6a5bd97dff3db2917eb89b74,US,1,false,Knowing that you came back for a matching pair of earrings after purchasing your pendant truly means a great deal to us. Thank you for your recommendation and for choosing The Pearl Source.
www.thepearlsource.com,id:6a5bd380d4163bbd91fd6b7e,native_id,6a5bd380d4163bbd91fd6b7e,5,2026-07-18T21:26:56.000Z,2026-07-18T00:00:00.000Z,Fast delivery,"Fast delivery, beautiful packaging. Great luster to AAA pearl. Love this unusual setting, just enough to set the pearl off enough to notice compared to plain stud.",true,0,Benjamin Moore fan,5e3c5c46e42748ea9d06bd55,US,3,false,Thank you for your review. We're delighted to hear your order arrived quickly and beautifully packaged. We hope you enjoy wearing your earrings.
www.thepearlsource.com,id:6a5bcd8276d99984532cc115,native_id,6a5bcd8276d99984532cc115,5,2026-07-18T21:01:22.000Z,2026-07-11T00:00:00.000Z,Obsessed with pearls,My new pearls are absolutely beautiful.  I received them quickly.  I have made 3 purchases and the service and quality were amazing ,true,0,Malinda Justice,6a5bcd81236e3d1a91d9a7d7,US,1,false,Thank you for your review. We're delighted to hear your pearls arrived quickly and that you've been pleased with both the quality and service. We're especially grateful for your continued trust and support.
www.thepearlsource.com,id:6a5bcbcc3f8b8d2c994156ca,native_id,6a5bcbcc3f8b8d2c994156ca,5,2026-07-18T20:54:04.000Z,2026-07-10T00:00:00.000Z,I can’t say enough…,I can’t say enough about the people at Pearl Source. My wife’s beloved pearls were lost and they were willing to help me find the best replacement possible—super responsive and empathetic to our situation. I can’t say enough. ,true,0,customer,5e13a8166af502192c3278e6,US,3,false,Thank you for your thoughtful review. We're grateful our team was able to help you find the best replacement for your wife's pearls. Your kind words about their responsiveness and care truly mean a great deal to us.
www.thepearlsource.com,id:6a5bc470664ff294de6efbc1,native_id,6a5bc470664ff294de6efbc1,5,2026-07-18T20:22:40.000Z,2026-07-11T00:00:00.000Z,Lived the pearls. ,"Easy to order items. Received items as scheduled. The pearls looked great, she really liked them. Great quality. ",true,0,Robert Walsh,6a275a154a5f81f8e388f729,US,1,false,We're so glad to hear the ordering process was easy and your items arrived as scheduled. Thank you for taking the time to share your experience and for choosing The Pearl Source.
www.thepearlsource.com,id:6a5bc368b18736d9c5d3faba,native_id,6a5bc368b18736d9c5d3faba,5,2026-07-18T20:18:16.000Z,2026-07-10T00:00:00.000Z,Everything was great from start to…,Everything was great from start to finish!  My wife of 30yrs loved her pearls.,true,0,Ivan Schrock,6a5bc367236e3dc2d6d99db1,US,1,false,Thank you for sharing your experience. It's wonderful to hear everything went smoothly and that your wife loves her pearls. We appreciate your feedback.
www.thepearlsource.com,id:6a5bc29d50cc2fdd2d4e2701,native_id,6a5bc29d50cc2fdd2d4e2701,5,2026-07-18T20:14:53.000Z,2026-07-10T00:00:00.000Z,"beautiful, quality pearls","shopping experience was effortless, and the quality of the pearls excellent!",true,0,ML,6a5bc29c7b418cfff982aed2,US,1,false,Thank you for your kind feedback. We're delighted to hear the shopping process was seamless and that you were pleased with the quality of your pearls. We truly appreciate you taking the time to share your experience.
www.thepearlsource.com,id:6a5a8245b0399c3b3162be83,native_id,6a5a8245b0399c3b3162be83,5,2026-07-17T21:28:05.000Z,2026-07-10T00:00:00.000Z,Great service,"Great service, very easy!!  Excellent high quality products!! Thank you!",true,0,Chris  Kowalewski,6a5a8244ff3db292f4b76d77,US,1,false,"We're so pleased to hear that you had such an easy experience with us and that the quality of your purchase met your expectations. Thank you for your thoughtful feedback, and we truly appreciate you taking the time to share it."
www.thepearlsource.com,id:6a5a6e18e260bc057e2241ef,native_id,6a5a6e18e260bc057e2241ef,5,2026-07-17T20:02:00.000Z,2026-07-17T00:00:00.000Z,They had what I was looking for at the…,They had what I was looking for at the price I wanted to pay.,true,0,Pete Brayton,6a5a6e18236e3d2e5ad86a69,US,1,false,We're delighted to hear you found the piece you were looking for and had a positive shopping experience with us. Thank you for sharing your feedback.
www.thepearlsource.com,id:6a5a3410efd36134cd134c7a,native_id,6a5a3410efd36134cd134c7a,5,2026-07-17T15:54:24.000Z,2026-07-17T00:00:00.000Z,Pearls were perfect,Pearls were perfect. My wife loved them,true,0,Charles MacKinnon,5f174fe7db680268bb2a099c,GB,6,false,Knowing your wife loved the pearls means a great deal to us. We're grateful you took the time to leave a review.
www.thepearlsource.com,id:6a599c64159c799c6ef44540,native_id,6a599c64159c799c6ef44540,5,2026-07-17T05:07:16.000Z,2026-07-15T00:00:00.000Z,Stunning,"I am absolutely thrilled with my Tahitian pearl pendant. It looks luxurious, elegant and incredibly unique. The pendant arrived on time, in a beautiful box with certification of authenticity. If you're considering a Tahitian pearl pendant , I can confidently say this one exceeded my expectations in every way.   ",false,0,Anca,6a599c2f236e3d2aabd73994,US,1,false,"Thank you for your thoughtful review. It's wonderful to know your Tahitian pearl pendant exceeded your expectations and that it arrived on time, beautifully presented, with its certificate of authenticity. We truly appreciate you taking the time to share your experience."
